Bit storage locations (row, col, channel):
Bit 0 -> Pixel (0, 42, 0)
Bit 0 -> Pixel (0, 42, 1)
Bit 0 -> Pixel (0, 42, 2)
Bit 0 -> Pixel (0, 43, 0)
Bit 1 -> Pixel (0, 43, 1)
Bit 1 -> Pixel (0, 43, 2)
Bit 1 -> Pixel (0, 44, 0)
Bit 0 -> Pixel (0, 44, 1)
Bit 0 -> Pixel (0, 44, 2)
Bit 1 -> Pixel (0, 45, 0)
Bit 0 -> Pixel (0, 45, 1)
Bit 0 -> Pixel (0, 45, 2)
Bit 1 -> Pixel (0, 46, 0)
Bit 1 -> Pixel (0, 46, 1)
Bit 0 -> Pixel (0, 46, 2)
Bit 0 -> Pixel (0, 47, 0)
Bit 0 -> Pixel (0, 47, 1)
Bit 0 -> Pixel (0, 47, 2)
Bit 0 -> Pixel (0, 48, 0)
Bit 0 -> Pixel (0, 48, 1)
Bit 1 -> Pixel (0, 48, 2)
Bit 1 -> Pixel (0, 49, 0)
Bit 1 -> Pixel (0, 49, 1)
Bit 0 -> Pixel (0, 49, 2)
Bit 0 -> Pixel (0, 50, 0)
Bit 0 -> Pixel (0, 50, 1)
Bit 0 -> Pixel (0, 50, 2)
Bit 0 -> Pixel (0, 51, 0)
Bit 1 -> Pixel (0, 51, 1)
Bit 0 -> Pixel (0, 51, 2)
Bit 1 -> Pixel (0, 52, 0)
Bit 1 -> Pixel (0, 52, 1)
Bit 1 -> Pixel (0, 52, 2)
Bit 1 -> Pixel (0, 53, 0)
Bit 0 -> Pixel (0, 53, 1)
Bit 0 -> Pixel (0, 53, 2)
Bit 1 -> Pixel (0, 54, 0)
Bit 0 -> Pixel (0, 54, 1)
Bit 0 -> Pixel (0, 54, 2)
Bit 0 -> Pixel (0, 55, 0)
Bit 0 -> Pixel (0, 55, 1)
Bit 0 -> Pixel (0, 55, 2)
Bit 0 -> Pixel (0, 56, 0)
Bit 1 -> Pixel (0, 56, 1)
Bit 1 -> Pixel (0, 56, 2)
Bit 0 -> Pixel (0, 57, 0)
Bit 1 -> Pixel (0, 57, 1)
Bit 1 -> Pixel (0, 57, 2)
Bit 0 -> Pixel (0, 58, 0)
Bit 1 -> Pixel (0, 58, 1)
Bit 0 -> Pixel (0, 58, 2)
Bit 1 -> Pixel (0, 59, 0)
Bit 1 -> Pixel (0, 59, 1)
Bit 1 -> Pixel (0, 59, 2)
Bit 1 -> Pixel (0, 60, 0)
Bit 0 -> Pixel (0, 60, 1)
Bit 0 -> Pixel (0, 60, 2)
Bit 1 -> Pixel (0, 61, 0)
Bit 0 -> Pixel (0, 61, 1)
Bit 0 -> Pixel (0, 61, 2)
Bit 1 -> Pixel (0, 62, 0)
Bit 0 -> Pixel (0, 62, 1)
Bit 0 -> Pixel (0, 62, 2)
Bit 0 -> Pixel (0, 63, 0)
Bit 0 -> Pixel (0, 63, 1)
Bit 0 -> Pixel (0, 63, 2)
Bit 0 -> Pixel (0, 64, 0)
Bit 1 -> Pixel (0, 64, 1)
Bit 1 -> Pixel (0, 64, 2)
Bit 0 -> Pixel (0, 65, 0)
Bit 1 -> Pixel (0, 65, 1)
Bit 0 -> Pixel (0, 65, 2)
Bit 0 -> Pixel (0, 66, 0)
Bit 1 -> Pixel (0, 66, 1)
Bit 0 -> Pixel (0, 66, 2)
Bit 1 -> Pixel (0, 67, 0)
Bit 1 -> Pixel (0, 67, 1)
Bit 0 -> Pixel (0, 67, 2)
Bit 0 -> Pixel (0, 68, 0)
Bit 1 -> Pixel (0, 68, 1)
Bit 0 -> Pixel (0, 68, 2)
Bit 0 -> Pixel (0, 69, 0)
Bit 0 -> Pixel (0, 69, 1)
Bit 0 -> Pixel (0, 69, 2)
Bit 1 -> Pixel (0, 70, 0)
Bit 0 -> Pixel (0, 70, 1)
Bit 0 -> Pixel (0, 70, 2)
Bit 0 -> Pixel (0, 71, 0)
Bit 0 -> Pixel (0, 71, 1)
Bit 0 -> Pixel (0, 71, 2)
Bit 0 -> Pixel (0, 72, 0)
Bit 1 -> Pixel (0, 72, 1)
Bit 1 -> Pixel (0, 72, 2)
Bit 0 -> Pixel (0, 73, 0)
Bit 1 -> Pixel (0, 73, 1)
Bit 0 -> Pixel (0, 73, 2)
Bit 0 -> Pixel (0, 74, 0)
Bit 1 -> Pixel (0, 74, 1)
Bit 0 -> Pixel (0, 74, 2)
Bit 1 -> Pixel (0, 75, 0)
Bit 1 -> Pixel (0, 75, 1)
Bit 1 -> Pixel (0, 75, 2)
Bit 0 -> Pixel (0, 76, 0)
Bit 0 -> Pixel (0, 76, 1)
Bit 1 -> Pixel (0, 76, 2)
